code_id,feature_manifestation,fund_type,level,manager,quarter_low_ranking,running_time,year_low_ranking,year_manifestation
'000024',1.0,债券型,jjpj5,张雪,0.25,2013-03-26,0.25,1835.0
'000171',1.0,债券型,jjpj5,张清华,0.375,2013-08-23,0.0,1685.0
'020019',1.0,债券型,jjpj5,吴晨,0.0,2009-03-11,0.25,3311.0
'020020',1.0,债券型,jjpj5,吴晨,0.125,2009-03-11,0.375,3311.0
'040026',1.0,债券型,jjpj5,苏玉平,0.375,2011-12-08,0.16666666666666666,2309.0
'050027',1.0,债券型,jjpj5,张李陵,0.25,2012-09-07,0.2,2035.0
'110008',1.0,债券型,jjpj5,胡剑,0.25,2005-09-19,0.125,4580.0
'110007',1.0,债券型,jjpj5,胡剑,0.25,2005-09-19,0.25,4580.0
'128112',1.0,债券型,jjpj5,李怡文,0.375,2010-09-08,0.42857142857142855,2765.0
'121012',1.0,债券型,jjpj5,李怡文,0.375,2010-09-08,0.2857142857142857,2765.0
'217022',1.0,债券型,jjpj5,马龙,0.25,2012-03-21,0.0,2205.0
'233005',1.0,债券型,jjpj5,张雪,0.125,2009-12-29,0.125,3018.0
'270044',1.0,债券型,jjpj5,代宇,0.125,2012-09-20,0.4,2022.0
'380009',1.0,债券型,jjpj5,陈玮,0.0,2013-02-04,0.0,1885.0
'519153',1.0,债券型,jjpj5,于泽雨,0.25,2012-12-21,0.2,1930.0
'519152',1.0,债券型,jjpj5,于泽雨,0.25,2012-12-21,0.2,1930.0
'519669',1.0,债券型,jjpj5,韩晶,0.25,2012-11-29,0.2,1952.0
'000045',1.0,债券型,jjpj4,何秀红,0.25,2013-03-29,0.25,1832.0
'000406',1.0,债券型,jjpj4,曾刚,0.375,2013-12-03,0.25,1583.0
'000407',1.0,债券型,jjpj4,曾刚,0.375,2013-12-03,0.25,1583.0
'020033',1.0,债券型,jjpj4,韩哲昊,0.125,2012-12-26,0.2,1925.0
'020034',1.0,债券型,jjpj4,韩哲昊,0.25,2012-12-26,0.2,1925.0
'217011',1.0,债券型,jjpj4,马龙,0.25,2008-10-22,0.25,3451.0
'161015',1.0,债券型,jjpj3,李羿,0.375,2011-05-23,0.3333333333333333,2508.0
'519163',1.0,债券型,jjpj3,于泽雨,0.25,2013-12-04,0.25,1582.0
'550004',1.0,债券型,jjpj3,宋海娟,0.375,2008-09-27,0.375,3476.0
'450018',1.0,债券型,jjpj2,刘怡敏,0.375,2012-09-11,0.4,2031.0
'519162',1.0,债券型,jjpj2,于泽雨,0.25,2013-12-04,0.25,1582.0
'000319',1.0,债券型,None,丁宇佳,0.375,2014-08-06,0.3333333333333333,1337.0
'000420',1.0,债券型,None,施同亮,0.125,2014-11-25,0.3333333333333333,1226.0
'000419',1.0,债券型,None,施同亮,0.125,2014-11-25,0.3333333333333333,1226.0
'000744',1.0,债券型,None,郑猛,0.25,2014-08-27,0.0,1316.0
'000745',1.0,债券型,None,郑猛,0.375,2014-08-27,0.0,1316.0
'000875',1.0,债券型,None,黎颖芳,0.125,2014-12-02,0.3333333333333333,1219.0
'000898',1.0,债券型,None,胡伟,0.25,2014-12-17,0.3333333333333333,1204.0
'000914',1.0,债券型,None,闫沛贤,0.14285714285714285,2014-12-17,0.3333333333333333,1204.0
'000973',1.0,债券型,None,姚秋,0.0,2015-01-16,0.0,1174.0
'161716',1.0,债券型,None,刘万锋,0.25,2013-03-01,0.25,1860.0
'164509',1.0,债券型,None,刘怡敏,0.2857142857142857,2014-03-10,0.0,1486.0
'164703',1.0,债券型,None,陆文磊,0.25,2013-11-06,0.0,1610.0
'165517',1.0,债券型,None,杨立春,0.25,2012-04-13,0.0,2182.0
